"Parameter","Median","Min","Max","pd","Lag","Model"
"h2_h3_h6",0.292876999356429,-0.695521919069024,0.991276531304869,0.618004866180049,7,"tvINGARCHX"
"h7",-0.0958713927489575,-0.479863677300472,1.82759674647668,0.637469586374696,7,"tvINGARCHX"
"sigma2lat",9.66617232004156,9.66617232004156,9.66617232004156,1,14,"tvINGARCHX"
"mut",0.640623492356134,0.0245106296466645,1.03972037309747,1,14,"tvINGARCHX"
"At",0.768698492066111,0.412147330088833,0.909746565760212,1,14,"tvINGARCHX"
"Bt",0.0836238458791043,-0.124898747569301,0.338109235414926,0.74009900990099,14,"tvINGARCHX"
"c1_c2",0.0599309933486473,0.00586112448296268,1.37257994152309,1,14,"tvINGARCHX"
"c3_c4",0.0122766928456103,-1.21995340803572,0.960342497320295,0.507425742574257,14,"tvINGARCHX"
"c5_c6_c7",0.532601692916178,-0.769875853512328,1.41890328888891,0.940594059405941,14,"tvINGARCHX"
"c8",0.659819114430057,-0.315028860315134,0.967792673052511,0.952970297029703,14,"tvINGARCHX"
"h2_h3_h6",0.192311625358222,-0.67980824333903,0.919305817303968,0.594059405940594,14,"tvINGARCHX"
"h7",-0.108800951696873,-0.528507399976091,1.77140271481464,0.643564356435644,14,"tvINGARCHX"
