"Country","Date","Number","c1_c2","c3_c4","c5_c6_c7","c8","h2_h3_h6","h7"
"United States","2021-03-16",40230,0,1,1,1,1,1
"United States","2021-03-17",52998,0,1,1,1,1,1
"United States","2021-03-18",51882,0,1,1,1,1,1
"United States","2021-03-19",56790,0,1,1,1,1,1
"United States","2021-03-20",58826,0,1,1,1,1,1
"United States","2021-03-21",61382,0,1,1,1,1,1
"United States","2021-03-22",60228,0,1,1,1,1,1
"United States","2021-03-23",39165,0,0,1,1,1,1
"United States","2021-03-24",57686,0,0,1,1,1,1
"United States","2021-03-25",58755,0,0,1,1,1,1
"United States","2021-03-26",65326,0,0,1,1,1,1
"United States","2021-03-27",69589,0,0,1,1,1,1
"United States","2021-03-28",71187,0,0,1,1,1,1
"United States","2021-03-29",61893,0,0,0,1,1,1
"United States","2021-03-30",46865,0,0,0,1,1,1
"United States","2021-03-31",64599,0,0,0,1,1,1
"United States","2021-04-01",62713,0,0,0,1,1,1
"United States","2021-04-02",68409,0,0,0,1,1,1
"United States","2021-04-03",74507,0,0,0,1,1,1
"United States","2021-04-04",65770,0,0,0,1,1,1
"United States","2021-04-05",67554,0,0,0,1,1,1
"United States","2021-04-06",41108,0,0,0,1,1,1
"United States","2021-04-07",62750,0,0,0,1,1,1
"United States","2021-04-08",65126,0,0,0,1,1,1
"United States","2021-04-09",74849,0,0,0,1,1,1
"United States","2021-04-10",76377,0,0,0,1,1,1
"United States","2021-04-11",80631,0,0,0,1,1,1
"United States","2021-04-12",67554,0,0,0,1,1,1
"United States","2021-04-13",48354,0,0,0,1,1,1
"United States","2021-04-14",62801,0,0,0,1,1,1
"United States","2021-04-15",78134,0,0,0,1,1,1
"United States","2021-04-16",73306,0,0,0,1,1,1
"United States","2021-04-17",73932,0,0,0,1,1,1
"United States","2021-04-18",73697,0,0,0,1,1,1
"United States","2021-04-19",61306,0,0,0,1,1,1
"United States","2021-04-20",38084,0,0,0,1,1,1
"United States","2021-04-21",57164,0,0,0,1,1,1
"United States","2021-04-22",60383,0,0,0,1,1,1
"United States","2021-04-23",62642,0,0,0,1,1,1
"United States","2021-04-24",63206,0,0,0,1,1,1
"United States","2021-04-25",63216,0,0,0,1,1,1
"United States","2021-04-26",51809,0,0,0,1,1,1
"United States","2021-04-27",34469,0,0,0,1,1,1
"United States","2021-04-28",40461,0,0,0,1,1,1
"United States","2021-04-29",51939,0,0,0,1,1,1
"United States","2021-04-30",53857,0,0,0,1,1,1
"United States","2021-05-01",59590,0,0,0,1,1,1
"United States","2021-05-02",53567,0,0,0,1,1,1
"United States","2021-05-03",45150,0,0,0,1,1,1
"United States","2021-05-04",36178,0,0,0,1,1,1
"United States","2021-05-05",39480,0,0,0,1,1,1
"United States","2021-05-06",44834,0,0,0,1,1,1
"United States","2021-05-07",42847,0,0,0,1,1,1
"United States","2021-05-08",81630,0,0,0,1,1,1
"United States","2021-05-09",44665,0,0,0,1,1,1
"United States","2021-05-10",35310,0,0,0,1,1,1
"United States","2021-05-11",23851,0,0,0,1,1,1
"France","2020-03-06",138,0,1,0,0,0,0
